time,cars
7,426
8,405
9,395
10,363
11,387
12,372
13,387
14,349
15,426
16,338
17,505
18,685
19,857
20,927
21,1041
22,1088
23,737
24,511
1,401
2,438
3,358
4,386
5,357
6,311
7,332
8,372
9,432
10,402
11,388
12,338
13,369
14,407
15,420
16,302
17,522
18,633
19,867
20,91
21,1017
22,976
23,789
24,600
1,327
2,313
3,440
4,449
5,300
6,434
7,416
8,373
9,401
10,431
11,415
12,444
13,434
14,350
15,387
16,359
17,552
18,699
19,887
20,915
21,1043
22,1096
23,704
24,558
1,362
2,369
3,336
4,341
5,432
6,411
7,367
8,352
9,432
10,352
11,380
12,41
13,417
14,354
15,450
16,448
17,542
18,605
19,887
20,924
21,959
22,955
23,715
24,531
1,445
2,308
3,303
4,434
5,426
6,358
7,397
8,442
9,311
10,426
11,383
12,355
13,405
14,432
15,382
16,385
17,538
18,662
19,883
20,949
21,1010
22,975
23,763
24,504
1,363
2,377
3,304
4,347
5,400
6,334
7,357
8,368
9,316
10,436
11,390
12,370
13,310
14,328
15,307
16,402
17,587
18,696
19,877
20,989
21,1041
22,969
23,790
24,560
1,422
2,432
3,389
4,424
5,370
6,408
7,369
8,345
9,357
10,336
11,382
12,362
13,331
14,412
15,376
16,367
17,529
18,675
19,818
20,978
21,980
22,1036
23,737
24,530
1,312
2,423
3,433
4,354
5,314
6,405
7,405
8,394
9,332
10,379
11,344
12,437
13,379
14,310
15,383
16,346
17,530
18,668
19,880
20,996
21,1031
22,1043
23,702
24,574
1,380
2,377
3,447
4,340
5,388
6,377
7,370
8,306
9,390
10,430
11,313
12,413
13,365
14,310
15,415
16,337
17,513
18,630
19,814
20,988
21,1016
22,1100
23,747
24,502
1,320
2,309
3,327
4,410
5,396
6,313
7,328
8,401
9,351
10,365
11,347
12,364
13,432
14,301
15,329
16,429
17,542
18,669
19,855
20,955
21,1018
22,1041
23,738
24,599
1,320
2,448
3,381
4,374
5,399
6,338
7,346
8,335
9,348
10,382
11,364
12,312
13,420
14,308
15,355
16,364
17,506
18,629
19,837
20,907
21,984
22,1095
23,793
24,504
1,349
2,340
3,306
4,364
5,450
6,439
7,361
8,316
9,386
10,370
11,349
12,41
13,322
14,314
15,355
16,442
17,581
18,611
19,844
20,946
21,1047
22,1073
23,744
24,565
1,423
2,367
3,390
4,435
5,401
6,382
7,422
8,413
9,423
10,416
11,422
12,420
13,412
14,339
15,341
16,351
17,524
18,618
19,834
20,980
21,980
22,983
23,762
24,597
1,432
2,448
3,381
4,316
5,314
6,315
7,341
8,307
9,327
10,305
11,396
12,336
13,315
14,414
15,301
16,41
17,51
18,634
19,861
20,978
21,989
22,1034
23,751
24,559
1,432
2,334
3,306
4,338
5,445
6,388
7,319
8,369
9,387
10,359
11,415
12,371
13,397
14,423
15,423
16,388
17,546
18,684
19,865
20,915
21,985
22,1018
23,799
24,535
1,309
2,303
3,306
4,400
5,332
6,316
7,435
8,389
9,314
10,419
11,31
12,355
13,375
14,399
15,417
16,408
17,524
18,600
19,812
20,975
21,960
22,1047
23,716
24,503
1,428
2,394
3,409
4,435
5,357
6,328
7,443
8,41
9,411
10,450
11,318
12,333
13,319
14,310
15,397
16,376
17,517
18,681
19,877
20,962
21,963
22,1048
23,716
24,503
1,419
2,338
3,354
4,340
5,380
6,392
7,393
8,350
9,433
10,327
11,405
12,399
13,397
14,392
15,329
16,368
17,513
18,674
19,875
20,954
21,1016
22,1011
23,784
24,517
